Date,1. open,2. high,3. low,4. close,5. volume
2024-10-08,771.1,784.5,771.1,782.0,295906.0
2024-10-07,797.0,803.9,765.6,769.8,1587972.0
2024-10-04,790.3,809.6,785.2,796.6,1154183.0
2024-10-03,787.4,804.0,784.4,794.4,768391.0
2024-10-01,789.0,799.8,788.2,797.0,227883.0
2024-09-30,801.2,802.5,786.2,787.6,1054719.0
2024-09-27,802.0,807.8,798.4,802.6,669965.0
2024-09-26,795.2,803.0,791.6,801.9,432917.0
2024-09-25,798.2,798.2,788.6,793.0,524539.0
2024-09-24,800.0,804.1,796.6,798.4,427650.0
2024-09-23,785.0,804.9,785.0,801.8,1415077.0
2024-09-20,794.0,794.4,779.5,781.9,1481791.0
2024-09-19,794.2,801.2,784.1,790.4,402071.0
2024-09-18,783.6,794.5,781.3,792.4,681430.0
2024-09-17,786.0,787.5,780.6,783.0,240500.0
2024-09-16,793.4,795.3,784.1,785.4,624666.0
2024-09-13,790.8,795.0,784.8,790.6,1064575.0
2024-09-12,775.0,789.7,772.9,788.0,312891.0
2024-09-11,781.6,788.0,765.6,768.3,521913.0
2024-09-10,788.6,789.0,777.6,782.6,582017.0
2024-09-09,785.0,788.0,771.3,784.3,1433332.0
2024-09-06,813.9,813.9,777.0,782.6,2498701.0
2024-09-05,818.0,821.9,814.3,818.6,318031.0
2024-09-04,813.0,818.6,813.0,816.5,278846.0
2024-09-03,821.2,825.9,816.8,824.8,293326.0
2024-09-02,816.4,825.3,813.0,822.1,1129356.0
2024-08-30,818.4,820.4,814.3,815.6,598533.0
2024-08-29,809.4,816.0,807.3,814.5,271349.0
2024-08-28,813.8,817.1,806.9,809.3,196716.0
2024-08-27,816.8,819.3,811.0,815.2,464853.0
2024-08-26,819.4,823.4,814.2,815.4,1278721.0
2024-08-23,821.0,821.7,814.2,815.2,560060.0
2024-08-22,819.8,823.7,817.4,820.2,494896.0
2024-08-21,820.0,821.0,811.4,815.8,248423.0
2024-08-20,818.8,822.9,813.2,820.0,308095.0
2024-08-19,814.0,825.0,812.4,813.6,743917.0
2024-08-16,803.5,815.1,803.2,812.4,768630.0
2024-08-14,800.7,809.0,800.4,803.0,287718.0
2024-08-13,813.1,819.4,795.1,797.3,641102.0
2024-08-12,819.2,822.6,810.8,813.0,1142861.0
2024-08-09,816.8,829.9,809.8,824.2,822817.0
2024-08-08,813.8,817.9,803.0,807.6,680135.0
